title,price,link
"Lenovo Legion Pro 5 Intel Core i7-14650HX 16"" (40.64cm) WQXGA IPS 500Nits 240Hz Gaming Laptop (16GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4060 8GB/100% DCI-P3/3 Month Game Pass/Grey/2.5Kg), 83DF003NIN  ","1,54,990",https://amazon.in//Lenovo-i7-14650HX-40-64cm-500Nits-83DF003NIN/dp/B0CXPZLJ7T/ref=sr_1_269?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.-0HwiKQYQ7o22FldICL3xVEnbGSFwkrybVWuPnUQ-0GswJhe-Ud9VFXQunqssnyK9LHA1M3pQCzDnC8uvIso6RAVsZKMrkr212ez7vRE8_7hG1CbuC8-tlHvjwG8YiFOXqHDCVYHKlasJnHPODKUnIVNG2iRcqdL52_0gTvuv8VaGsHVEqtSpvYhwyg47mlwrRYMtD94FI8JYRizzQ7KpovBMa0zKdSL26LTtPvbLMI.pSpMPJhlVYy-xC5sbPjIq6-UThs0fyrdYd9tAqYD-Ww&dib_tag=se&keywords=laptop&qid=1719412645&sprefix=lap%2Caps%2C246&sr=8-269
"Lenovo Legion Pro 5 Intel Core i7-14650HX 16"" (40.64cm) WQXGA IPS 500Nits 240Hz Gaming Laptop (16GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4060 8GB/100% DCI-P3/3 Month Game Pass/Grey/2.5Kg), 83DF003NIN  ","1,54,990",https://amazon.in//Lenovo-i7-14650HX-40-64cm-500Nits-83DF003NIN/dp/B0CXPZLJ7T/ref=sr_1_300?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.l_hp1IHXTPhHMBybmpwmYqX_6wlXrO21drBL5URW3Ec_YNdO7dC9SPuVKw3DK7rGIWkJKsK9BOG57vaaAXcEG-s7V3zeMOzM9nCGtjD6T-5bkiycv4r8y-Nq2w2ht0dtf2gOHH84ifU068MCLykf8YtioOGP7xVID0KP_1OZGWjVMeL-q4pW2wfMx6vuEUPGEzYjaNpC1feAbJyVon3mE5rbhKuq9HQn6xWv2m85Meg.2zzK4yWFF1sZTG4lvhTA1KdNAm4B60kdE2c-Pp1S3s8&dib_tag=se&keywords=laptop&qid=1719412651&sprefix=lap%2Caps%2C246&sr=8-300
"Dell Alienware m16 R1 Gaming Laptop, Intel i7-13650HX/16GB/512GB/16 (40.64cm) QHD+ 165Hz, 100% sRGB/NVIDIA RTX 4050, 6 GB GDDR6/Win 11 + MSO'21, 15 Month McAfee/Dark Metallic Moon/  ","1,49,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDUzNTIzMzcwOTI2MTc3OjE3MTk0MTI2NDg6c3BfbXRmOjMwMDIzNDU2NDc5OTYzMjo6MDo6&url=%2FDell-Alienware-i7-13650HX-40-64cm-Metallic%2Fdp%2FB0C9F5MKS7%2Fref%3Dsr_1_283_sspa%3Fcrid%3DV4MX297CAMU7%26dib%3DeyJ2IjoiMSJ9.vSEeyny5ufbMcLhCeQSLb2WiF_rkenyB1UFkhUAboqgDrZQkXxQe7JHlVSKiFlb8F2IgBZtNxhugwZnGa8G-5qBB5JR-mUOlqXv3PlnrxkQ3dZvm-K65xeKHOAmStIemt81Wj-jDfkHSggFLXP1mBRs_Z67HFgHOo8JMkcny9Hn3gXc4PJq3LkGLJfJyciq3vbcunFvPN8r8kUtr4B2Pi69LG3rCB4jFNTN7gcbSZFE.pXxcLXb_xBPvEKfgzlof1paMC6I9JWA06uaI5ov-nas%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719412648%26sprefix%3Dlap%252Caps%252C246%26sr%3D8-283-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell G15 5530 Gaming Laptop, Intel i9-13900HX,16GB DDR5,1TB SSD,NVIDIA RTX 4060-8GB GDDR6, 15.6"" (39.62cm) FHD 165Hz,NVIDIA G-SYNC+DDS Display,Win 11, Backlit Keyboard 4-Zone,Dark Shadow Gray, 2.65 Kg  ","1,48,620",https://amazon.in//Dell-i9-13900HX-4060-8GB-39-62cm-Keyboard/dp/B0CN1L7XS2/ref=sr_1_264?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.-0HwiKQYQ7o22FldICL3xVEnbGSFwkrybVWuPnUQ-0GswJhe-Ud9VFXQunqssnyK9LHA1M3pQCzDnC8uvIso6RAVsZKMrkr212ez7vRE8_7hG1CbuC8-tlHvjwG8YiFOXqHDCVYHKlasJnHPODKUnIVNG2iRcqdL52_0gTvuv8VaGsHVEqtSpvYhwyg47mlwrRYMtD94FI8JYRizzQ7KpovBMa0zKdSL26LTtPvbLMI.pSpMPJhlVYy-xC5sbPjIq6-UThs0fyrdYd9tAqYD-Ww&dib_tag=se&keywords=laptop&qid=1719412645&sprefix=lap%2Caps%2C246&sr=8-264
"Dell G15 5530 Gaming Laptop, Intel i9-13900HX,16GB DDR5,1TB SSD,NVIDIA RTX 4060-8GB GDDR6, 15.6"" (39.62cm) FHD 165Hz,NVIDIA G-SYNC+DDS Display,Win 11, Backlit Keyboard 4-Zone,Dark Shadow Gray, 2.65 Kg  ","1,48,620",https://amazon.in//Dell-i9-13900HX-4060-8GB-39-62cm-Keyboard/dp/B0CN1L7XS2/ref=sr_1_295?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.l_hp1IHXTPhHMBybmpwmYqX_6wlXrO21drBL5URW3Ec_YNdO7dC9SPuVKw3DK7rGIWkJKsK9BOG57vaaAXcEG-s7V3zeMOzM9nCGtjD6T-5bkiycv4r8y-Nq2w2ht0dtf2gOHH84ifU068MCLykf8YtioOGP7xVID0KP_1OZGWjVMeL-q4pW2wfMx6vuEUPGEzYjaNpC1feAbJyVon3mE5rbhKuq9HQn6xWv2m85Meg.2zzK4yWFF1sZTG4lvhTA1KdNAm4B60kdE2c-Pp1S3s8&dib_tag=se&keywords=laptop&qid=1719412651&sprefix=lap%2Caps%2C246&sr=8-295
"Acer Predator Helios Neo 16 Gaming Laptop 14th Gen Intel Core i7 Processor (Windows 11 Home/16 GB/1 TB SSD/NVIDIA GeForce RTX 4060) PHN16-72 with 40.64 cm (16"") WQXGA Display  ","1,47,999",https://amazon.in//Acer-Predator-Processor-Windows-PHN16-72/dp/B0CXPXW4VY/ref=sr_1_52?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.qTwPZzm8OqiGMb-oKAQwCgHd_kcjOT-0-JjSEkdZ59Tg8wuXhMHVxtSoTTSmjqZBBwmqv1dljO4_O_94iPBYRBmk-k72Mh2X0bQYfj1ONi2NubGR2l-L6D9Qo-sTAQze__7sWFxXcld6ryiix1F_XHeTO0xg3DbvAlOPET2mfU-UFccGkz81IROYYw0rEdZoeBBfwXAgvO665DgbrSLGXf0tBM3ARYiL2jUj9pYAS6U.iy0SYDsCEvB3BDXnDzE_bWJW8i-S0eVVTjl4wiE4its&dib_tag=se&keywords=laptop&qid=1719412594&sprefix=lap%2Caps%2C246&sr=8-52
"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight  ","1,47,990",https://amazon.in//Apple-2024-MacBook-Laptop-chip/dp/B0CX22C1ZW/ref=sr_1_103?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.cTMjl7pMQVQwGFPpdrDueC4lLBpD4s7w-ZyOkS1oRtwZ_n7MgY401IbDdP1nqUEbQfJZKy8EN6bON-hJTV2dj-3RojKJ4vVixKWuVA4Qh8RE9MFmmJ5HwNcFPp1IY2fgPwtZ9qQwvPU1WGa7VZKwU1F1LwY4veMierysnafRgU4kjzA8Jj3nsahsHqPzCkSR5DU-CS6HvTbZjFU8irffsqaWMBYixrehmjKt3HbQS8w.Y2PSo-pCcNcSGMkF3BpB8dkjSgl-cVgWFlI4axPzF_s&dib_tag=se&keywords=laptop&qid=1719412613&sprefix=lap%2Caps%2C246&sr=8-103
"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight  ","1,47,990",https://amazon.in//Apple-2024-MacBook-Laptop-chip/dp/B0CX22C1ZW/ref=sr_1_119?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.IecdsYHbOyWv61rmlhM4USd7PkqnnUSvjg0N-M4VW8gout-8wXn3MVGJZuhMV90rn1ByGC2NZZSI1pLNY1wk3VxqVduCiT1O45gIhk2nW66wzmyBhFUtW5vzA_-5QQN4WpIttzk0ZiKKVBHehgwJKM-qkmRI7t3E3XxDskgpgmfhplBfAw5wIRVUXXiVut4TslGFoSIbVW58_9GEzzBVSedX42SIEnMpyY2_0O0YnYk.DfXADZfMRr3c0BH91Dy99OqsNH9a87UTk57w43K4NJI&dib_tag=se&keywords=laptop&qid=1719412616&sprefix=lap%2Caps%2C246&sr=8-119
"ASUS [Smartchoice] ROG Strix G16, 16""(40.64cm) FHD+ 165Hz, 13th Gen Intel Core i7-13650HX, Gaming Laptop(16GB DDR5/1TB SSD/NVIDIA GeForce RTX 4060 /Win 11/MSO 21/Eclipse Gray/2.50 Kg), G614JV-N3474WS  ","1,39,990",https://amazon.in//ASUS-Smartchoice-40-64cm-i7-13650HX-G614JV-N3474WS/dp/B09TB4FPKW/ref=sr_1_226?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.p3llVVPt4cbV_Q1X7kfcr-5otKpmjySNgEdISahFxcX6jZAEghwKrnN7nzTdCpme9BiiltIDR7EDeQXsMVvGG1o48UOYiX9H3Vg8SxIrNH07NVG5tPjx0-KJIxuMv9RGxLqSNGdS04OWk5D5TzkHg0-VD8SMedfkdU-2P2m841aOM97Z1DVcri_7tLptWCESSOC5SFstAuwfpLtaZCmDZgTk9bT8TgoN3Abqw6v6cQY.0AjuA4HtnbTQp0hvHFMZhSEFgb1_Rg2iud_pM8G48bQ&dib_tag=se&keywords=laptop&qid=1719412635&sprefix=lap%2Caps%2C246&sr=8-226
"ASUS [Smartchoice] ROG Strix G16, 16""(40.64cm) FHD+ 165Hz, 13th Gen Intel Core i7-13650HX, Gaming Laptop(16GB DDR5/1TB SSD/NVIDIA GeForce RTX 4060 /Win 11/MSO 21/Eclipse Gray/2.50 Kg), G614JV-N3474WS  ","1,39,990",https://amazon.in//ASUS-Smartchoice-40-64cm-i7-13650HX-G614JV-N3474WS/dp/B09TB4FPKW/ref=sr_1_228?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.aLritixPmzP8_Ujsf4KAAKwzJnvIuJQZ2na4mh6bYna1o9-mAmH0BnnVa9haYGLYUH4oAtSVSc53xkmSZnC2YMvGxj-sKmg6tdOvtlu_xQxquqGmh02Csk1pQp71RfJr86XWIjax7DyMKIe-C4aW1nHpXLUT1sn49UAOEZId7OAVddndxSHREnMfoHo1Oe2vIO5giT6Q4fPlyaExnO-e1kDuYbEWNlezQoPImipK6HM.56QUlljCsecCnuWuDOD6fb0MkwmvuZNO9HErsokwB9o&dib_tag=se&keywords=laptop&qid=1719412640&sprefix=lap%2Caps%2C246&sr=8-228
